name,users,statuses,6,12,24,72
gadget.inpocket.net,256.0,9420.0,0.0,0.0,0.0,0.0
discuss.systems,255.0,1229.0,13.0,14.0,17.0,56.0
natudon-fishing.net,254.0,292.0,0.0,0.0,0.0,0.0
rheinneckar.social,253.0,1613.0,1.0,19.0,52.0,143.0
mstdn.es,252.0,51715.0,2.0,3.0,4.0,20.0
animal-crossing.mastportal.info,251.0,120141.0,0.0,0.0,0.0,0.0
mastodon.sergal.org,250.0,83861.0,0.0,0.0,0.0,0.0
social.seattle.wa.us,246.0,6893.0,0.0,0.0,-1.0,19.0
pagan.plus,246.0,14272.0,3.0,3.0,3.0,5.0
sleeping.town,246.0,918519.0,0.0,0.0,0.0,0.0
kosmos.social,244.0,22901.0,0.0,0.0,0.0,0.0
pcgamer.social,243.0,33121.0,0.0,0.0,0.0,1.0
diaspodon.fr,240.0,138432.0,0.0,0.0,0.0,0.0
augsburg.social,239.0,2216.0,0.0,3.0,3.0,27.0
iwatedon.net,237.0,193543.0,0.0,0.0,0.0,0.0
mastodos.com,237.0,162522.0,0.0,0.0,0.0,0.0
unnerv.jp,234.0,1114114.0,0.0,0.0,0.0,0.0
famichiki.jp,232.0,5723.0,3.0,4.0,5.0,28.0
mst3k.interlinked.me,232.0,344397.0,0.0,0.0,0.0,0.0
mastodon.partecipa.digital,228.0,16810.0,0.0,0.0,0.0,1.0
masto.donte.com.br,228.0,425821.0,0.0,0.0,0.0,1.0
wp-social.net,225.0,10577.0,0.0,0.0,1.0,1.0
mstdn.y-zu.org,223.0,410535.0,0.0,0.0,0.0,1.0
tiny.tilde.website,223.0,121489.0,0.0,0.0,0.0,2.0
odakyu.app,223.0,324281.0,0.0,0.0,0.0,0.0
fandom.community,222.0,2246.0,2.0,3.0,9.0,47.0
nixnet.social,222.0,23875.0,0.0,1.0,2.0,3.0
emacs.ch,222.0,1451.0,7.0,11.0,22.0,115.0
mastodon.jalgi.eus,221.0,32548.0,0.0,1.0,1.0,5.0
pritter.work,220.0,11153.0,0.0,0.0,0.0,0.0
